Wavelength_nm_,N_15,N_14,N_13,N_12,N_11,N_10,N_9,N_8,N_7,N_6,N_5,N_4,N_3,N_2,N_1,N_0
1421.42857142857,0.29415571620163,0.343018843533509,0.294748434318766,0.300597287519541,0.26991938567823,0.237966798944797,0.289607358325487,0.285278899622674,0.400354946024519,0.481960093472331,0.576681774731364,0.663351120114407,0.677201548178864,0.639975116110603,0.551025374109537,0.343194946456198
1428.57142857143,0.282292714576172,0.330397049214383,0.281006441553048,0.292114208441561,0.262188583173236,0.233439535291385,0.28769994578713,0.282043428490932,0.393574598082146,0.471191308885691,0.557312678983432,0.639229485181403,0.647748109330391,0.610228578843947,0.523398754788544,0.32409602386033
1435.71428571429,0.27198120212836,0.317951950779877,0.269070375355817,0.283365410430119,0.254979333450001,0.230165391663258,0.285057865665086,0.280595218674197,0.386899389940957,0.461211287431507,0.539400694564749,0.61619861046141,0.620087990107534,0.581988458983997,0.497007795718196,0.305795738360848
1442.85714285714,0.262983784865323,0.305482449348901,0.258592381626242,0.274159033590185,0.248079029600183,0.228039876773531,0.281587526779206,0.280732025769026,0.38008519141746,0.451708235505526,0.52241140680371,0.594010782741464,0.593974928393475,0.555091944726985,0.471676774230717,0.288150977394815
1450,0.254534723001629,0.292563185499416,0.24855318106718,0.264246225494221,0.24100319195674,0.226610840008716,0.277267091987439,0.281627036975049,0.372649625597255,0.441961492191767,0.505125272240053,0.572109370381467,0.568782464942874,0.529122750771674,0.447013051528442,0.27085405602756
1457.14285714286,0.246561639682098,0.279333012289695,0.23894699323924,0.253885590129343,0.233868281001815,0.225767999642431,0.272300310400804,0.28311172123153,0.364789027084412,0.432130994164712,0.487811389313738,0.550605818480868,0.544527557611864,0.504075164093913,0.423074009040249,0.253978796589124
1464.28571428571,0.239027121823491,0.265953908607403,0.229816720276336,0.243353588836126,0.226816933090618,0.225419771725903,0.26689783868479,0.285052333757939,0.356727849342561,0.422414791983861,0.470800979126228,0.529639115020288,0.521256913322738,0.479963091834378,0.399936067410009,0.237614797678848
1471.42857142857,0.231894146985676,0.252585910433836,0.221205038811589,0.232924079362913,0.219990863915235,0.225474793369831,0.2612694746478,0.287315066058382,0.348688949346995,0.41300917598747,0.454420128990108,0.50934568371744,0.499016719390436,0.456800554377059,0.377674312279344,0.221850434189313
1478.57142857143,0.225126046472881,0.239387100232927,0.213154450814799,0.222868309417514,0.213530922498492,0.225841828268695,0.255624000460038,0.289765925802238,0.340893549086724,0.404108781799825,0.438990191467822,0.489859606856371,0.477852766947572,0.434601723245606,0.356362662986056,0.206772983362653
1485.71428571429,0.218686472005659,0.226513654439254,0.205707338178399,0.213455080310152,0.207577190471645,0.226429691554284,0.250169127492716,0.292270657777173,0.333561310444661,0.395906782018325,0.424828414132595,0.471312884304871,0.457810576800892,0.413380959190755,0.336074049758475,0.192468766088601
1492.85714285714,0.2125393658319,0.214119946612631,0.198906021075107,0.204951075325345,0.20226912579027,0.227147193845535,0.245111541067611,0.294694706099099,0.326910520668317,0.388595161854464,0.412248789979958,0.45383572685312,0.438935527955622,0.393152850592995,0.31688059920455,0.179023302961773
1500,0.206648934161375,0.202358704006572,0.192792820140776,0.197621348356088,0.197745750265956,0.227903104438882,0.240657043400746,0.296903217965037,0.321158386029782,0.382365077098546,0.40156312154762,0.437556882496979,0.421272989110146,0.373932252310241,0.298853828059969,0.16652148478325
1507.14285714286,0.200979623822519,0.191381215580548,0.187410122568087,0.191729969766499,0.194145880590869,0.228606133637924,0.237010793281439,0.29876108926483,0.316521431960303,0.377407293568248,0.393082295712205,0.422603994816996,0.40486845349101,0.355734325106356,0.282064845327536,0.155047757370622
1514.28571428571,0.19549610205246,0.181337589863233,0.182800452231132,0.187540828397105,0.191608402907065,0.229164934253234,0.234377641540547,0.300133052325369,0.313216008921428,0.373912708182442,0.387117770809494,0.409103993168511,0.389767677468241,0.338574575803271,0.266584563111969,0.144686320731651
1521.42857142857,0.190163239342058,0.172377061539395,0.179006543997668,0.185318591085248,0.190272591423228,0.229488122312644,0.23296256212395,0.300883805945178,0.311458904537677,0.37207295297711,0.38398328320592,0.397183515000922,0.376016823464509,0.32246889830707,0.252483916631567,0.135521342860485
1528.57142857143,0.184991834525956,0.164659911030973,0.176089835754546,0.184984132206488,0.190154972912644,0.229504986372338,0.232813063483691,0.300854796946321,0.311116615846719,0.371561872493179,0.383315275555914,0.386606856353521,0.363417430732424,0.307274818783033,0.239644595358213,0.127465253110604
1535.71428571429,0.18023230000965,0.158306038465279,0.174137473510303,0.184653637339178,0.190582880586064,0.229292625738936,0.23309599682837,0.299861961597695,0.310250694546857,0.369454711618751,0.381278212570585,0.37534509455442,0.350591621525985,0.292128107556688,0.227042518766673,0.119583135745152
1542.85714285714,0.175923226548709,0.153225986968509,0.17304138184909,0.184050143727481,0.191388533222092,0.228893923555623,0.233627509199443,0.297980401554614,0.308604047423864,0.365418015775501,0.377338942678835,0.363210716229206,0.337458004485859,0.27706887820353,0.214664447548101,0.111818090983987
1550,0.172058820720377,0.149309492961965,0.172668342556112,0.183233671115194,0.192519651699184,0.228336045496143,0.234371780023204,0.29531913219598,0.306265873911926,0.359639068673221,0.371640187080098,0.350379496072035,0.324183584543019,0.262301234849447,0.202689242908839,0.104285681595807
1557.14285714286,0.168633444866205,0.146447677612855,0.172885592551895,0.182264232195749,0.193923983990069,0.227646162948863,0.235292999222096,0.291987364518211,0.303325542584485,0.352306421889432,0.364326185362246,0.337025574542994,0.310933375971984,0.248026545099606,0.19129387143224,0.0971006951267547
1564.28571428571,0.165641611316328,0.144532767678832,0.173560623055377,0.181201807349089,0.195549269108216,0.226851443912825,0.236355351136577,0.288094323244988,0.29987245833504,0.343609183116717,0.355542137914979,0.323321227926702,0.29787039523929,0.234443644912482,0.180653618612675,0.0903772239484595
1571.42857142857,0.163077976845269,0.14345784651321,0.174561019645589,0.18010632768491,0.197343207319932,0.225979045596572,0.237523001393155,0.283749092583151,0.295995948036691,0.333736386308116,0.345433694435326,0.30943671081343,0.285155715546927,0.221749131199555,0.170942370295208,0.0842287746002039
1578.57142857143,0.160937337346902,0.143116633768723,0.175754342825274,0.17903766637829,0.199253436613867,0.225056108720411,0.238760086716895,0.279060489802037,0.291785164821351,0.322876446312505,0.334146491249943,0.295540168474755,0.272948580513319,0.21013773879826,0.162332960332508,0.0787684059504425
1585.71428571429,0.159214622716852,0.143403292674735,0.177008048928783,0.178055638273832,0.201227515437639,0.224109753520408,0.240030707692077,0.274136966615434,0.287329010998109,0.311216699148344,0.321825739263064,0.281797616363674,0.261406574638173,0.199802799344719,0.154997583483712,0.0741088958856201
1592.85714285714,0.15790489193135,0.14421226405378,0.178189451386139,0.177220007730963,0.203212911725077,0.223167077450797,0.241298924478736,0.269086538187137,0.282716079530674,0.298943027829771,0.308615863507829,0.268372983884269,0.250685848513867,0.190936780635461,0.14910827342633,0.0703629364564455
1600,0.157003328312121,0.145438126492219,0.179165722455803,0.176590504685959,0.205156998247139,0.222255154580308,0.242528755495458,0.264016739462751,0.278034613916078,0.28623957264383,0.294660194543518,0.255428219635759,0.240941397166245,0.183731906308782,0.144837446733424,0.0676433576737247
1607.14285714286,0.156505234967506,0.146975482289811,0.179803935570419,0.17622684891543,0.20700705432492,0.22140103667748,0.24368417908015,0.259034608451516,0.27337248625092,0.273288523983781,0.280100711308793,0.243123455526843,0.232327390424969,0.178380857100108,0.14235851479208,0.0660633804486393
1614.28571428571,0.156378829636273,0.148720670132421,0.179983116672114,0.176198293233804,0.208705390522563,0.220634733185219,0.244718273752468,0.254258214774027,0.268829954225679,0.260352659205192,0.265195342752925,0.231650719017677,0.224988435492599,0.175008702926192,0.141778933922714,0.0657079658076099
