Wavelength_nm_,x_gamma_60Nm,x_gamma_80Nm,x_gamma_100Nm,x_gamma_120Nm,x_gamma__infty
1366,0.179009956199952,0.166762272312186,0.164444176036438,0.165038385900442,0.188538287777307
1367,0.178884677207258,0.16670867400292,0.164432642032332,0.165049094167641,0.188539406506701
1368,0.178759885899723,0.166655413121179,0.164421254628875,0.165059835801403,0.188540651134003
1369,0.178635581208643,0.166602488927531,0.164410013504807,0.16507061072861,0.188542021383324
1370,0.178511762068433,0.166549900684703,0.164398918339808,0.165081418876354,0.188543516979579
1371,0.17838842741662,0.166497647657572,0.164387968814494,0.165092260171944,0.188545137648484
1372,0.178265576193827,0.166445729113161,0.16437716461041,0.1651031345429,0.18854688311656
1373,0.178143207343763,0.166394144320626,0.16436650541003,0.165114041916951,0.188548753111118
1374,0.178021319813211,0.166342892551249,0.164355990896752,0.165124982222038,0.188550747360267
1375,0.177899912552022,0.166291973078436,0.164345620754895,0.165135955386313,0.188552865592907
1376,0.177778984513096,0.166241385177703,0.164335394669696,0.165146961338134,0.188555107538724
1377,0.177658534652375,0.16619112812667,0.164325312327306,0.165158000006068,0.188557472928191
1378,0.177538561928833,0.166141201205055,0.164315373414787,0.165169071318891,0.188559961492563
1379,0.177419065304463,0.166091603694666,0.164305577620108,0.165180175205583,0.188562572963874
1380,0.177300043744267,0.166042334879389,0.164295924632144,0.165191311595333,0.188565307074934
1381,0.177181496216244,0.16599339404519,0.164286414140671,0.165202480417533,0.18856816355933
1382,0.177063421691382,0.165944780480096,0.164277045836361,0.165213681601778,0.188571142151417
1383,0.176945819143643,0.165896493474197,0.164267819410784,0.16522491507787,0.188574242586318
1384,0.176828687549954,0.165848532319633,0.164258734556398,0.165236180775811,0.188577464599925
1385,0.1767120258902,0.165800896310589,0.164249790966549,0.165247478625808,0.188580807928889
1386,0.176595833147206,0.165753584743287,0.164240988335473,0.165258808558267,0.188584272310624
1387,0.176480108306735,0.165706596915978,0.164232326358282,0.165270170503795,0.188587857483299
1388,0.176364850357467,0.165659932128936,0.16422380473097,0.165281564393199,0.188591563185838
1389,0.176250058291001,0.165613589684451,0.164215423150405,0.165292990157488,0.188595389157919
1390,0.176135731101832,0.165567568886817,0.164207181314329,0.165304447727865,0.188599335139966
1391,0.17602186778735,0.165521869042333,0.16419907892135,0.165315937035735,0.188603400873152
1392,0.175908467347825,0.16547648945929,0.164191115670945,0.165327458012697,0.188607586099392
1393,0.175795528786398,0.165431429447964,0.164183291263454,0.165339010590547,0.188611890561342
1394,0.17568305110907,0.165386688320611,0.164175605400076,0.165350594701279,0.188616314002398
1395,0.175571033324693,0.165342265391459,0.164168057782865,0.16536221027708,0.188620856166691
1396,0.175459474444957,0.165298159976702,0.164160648114731,0.16537385725033,0.188625516799085
1397,0.175348373484384,0.16525437139449,0.164153376099434,0.165385535553606,0.188630295645175
1398,0.175237729460316,0.165210898964924,0.164146241441582,0.165397245119676,0.188635192451283
1399,0.175127541392901,0.165167742010052,0.164139243846627,0.165408985881501,0.188640206964457
1400,0.175017808305091,0.165124899853855,0.164132383020863,0.165420757772231,0.188645338932468
1401,0.174908529222625,0.165082371822246,0.164125658671423,0.165432560725211,0.188650588103805
1402,0.174799703174022,0.165040157243062,0.164119070506274,0.165444394673971,0.188655954227679
1403,0.174691329190571,0.164998255446055,0.164112618234216,0.165456259552237,0.188661437054011
1404,0.17458340630632,0.164956665762888,0.16410630156488,0.165468155293918,0.188667036333438
1405,0.17447593355807,0.164915387527124,0.164100120208723,0.165480081833114,0.188672751817306
1406,0.174368909985359,0.164874420074224,0.164094073877025,0.165492039104113,0.188678583257667
1407,0.174262334630456,0.164833762741539,0.164088162281888,0.165504027041387,0.188684530407279
1408,0.174156206538353,0.164793414868301,0.164082385136231,0.165516045579597,0.188690593019604
1409,0.17405052475675,0.164753375795619,0.164076742153787,0.165528094653588,0.1886967708488
1410,0.173945288336051,0.164713644866469,0.164071233049104,0.165540174198391,0.188703063649726
1411,0.17384049632935,0.164674221425692,0.164065857537537,0.16555228414922,0.188709471177935
1412,0.173736147792427,0.164635104819985,0.164060615335248,0.165564424441473,0.188715993189672
1413,0.173632241783731,0.164596294397892,0.164055506159203,0.16557659501073,0.188722629441872
1414,0.173528777364376,0.164557789509802,0.164050529727166,0.165588795792755,0.188729379692157
1415,0.173425753598131,0.16451958950794,0.164045685757704,0.165601026723493,0.188736243698836
1416,0.173323169551407,0.16448169374636,0.164040973970174,0.165613287739069,0.188743221220899
1417,0.173221024293255,0.164444101580941,0.164036394084727,0.165625578775788,0.188750312018018
1418,0.173119316895348,0.164406812369376,0.164031945822305,0.165637899770138,0.188757515850541
1419,0.173018046431977,0.164369825471173,0.164027628904634,0.165650250658781,0.188764832479493
1420,0.172917211980041,0.16433314024764,0.164023443054225,0.165662631378562,0.188772261666571
1421,0.172816812619038,0.164296756061886,0.164019387994371,0.165675041866501,0.188779803174144
1422,0.172716847431054,0.164260672278809,0.164015463449142,0.165687482059795,0.18878745676525
1423,0.172617315500756,0.164224888265095,0.164011669143385,0.165699951895821,0.18879522220359
1424,0.172518215915382,0.164189403389206,0.164008004802718,0.165712451312127,0.188803099253532
1425,0.172419547764732,0.164154217021378,0.164004470153531,0.16572498024644,0.188811087680104
1426,0.17232131014116,0.164119328533615,0.16400106492298,0.16573753863666,0.188819187248993
1427,0.172223502139562,0.164084737299679,0.163997788838988,0.165750126420863,0.188827397726544
1428,0.172126122857373,0.164050442695088,0.163994641630237,0.165762743537294,0.188835718879755
1429,0.172029171394551,0.164016444097106,0.163991623026172,0.165775389924375,0.188844150476276
1430,0.171932646853573,0.163982740884742,0.163988732756991,0.1657880655207,0.18885269228441
1431,0.171836548339424,0.163949332438736,0.16398597055365,0.165800770265033,0.188861344073102
1432,0.171740874959591,0.163916218141564,0.163983336147853,0.16581350409631,0.188870105611949
1433,0.171645625824049,0.163883397377419,0.163980829272055,0.165826266953637,0.188878976671187
1434,0.17155080004526,0.163850869532219,0.163978449659457,0.16583905877629,0.188887957021693
1435,0.171456396738157,0.163818633993587,0.163976197044005,0.165851879503714,0.188897046434984
1436,0.171362415020138,0.163786690150855,0.163974071160382,0.165864729075524,0.188906244683213
1437,0.171268854011059,0.163755037395056,0.163972071744014,0.165877607431501,0.188915551539167
1438,0.171175712833225,0.163723675118914,0.163970198531061,0.165890514511595,0.188924966776266
