Wavelength_nm_,x_gamma__infty_N__SWG__14,x_gamma__infty_N__SWG__10,x_gamma__infty_N__SWG__6,x_gamma__infty_N__SWG__2,x_gamma_120_N__SWG__14,x_gamma_120_N__SWG__10,x_gamma_120_N__SWG__6,x_gamma_120_N__SWG__2,x_gamma_100_N__SWG__14,x_gamma_100_N__SWG__10,x_gamma_100_N__SWG__6,x_gamma_100_N__SWG__2,x_gamma_80_N__SWG__14,x_gamma_80_N__SWG__10,x_gamma_80_N__SWG__6,x_gamma_80_N__SWG__2,x_gamma_60_N__SWG__14,x_gamma_60_N__SWG__10,x_gamma_60_N__SWG__6,x_gamma_60_N__SWG__2
1.431,3.32262230208805,2.37330164434861,1.42398098660917,0.474660328869722,2.91691949821529,2.08351392729663,1.25010835637798,0.416702785459327,2.88499187414557,2.06070848153255,1.23642508891953,0.412141696306511,2.88434730276271,2.06024807340194,1.23614884404116,0.412049614680388,3.02310645213562,2.15936175152545,1.29561705091527,0.431872350305089
1.432,3.32277644313008,2.37341174509291,1.42404704705575,0.474682349018583,2.91714352347572,2.0836739453398,1.25020436720388,0.41673478906796,2.88494552725814,2.06067537661296,1.23640522596777,0.412135075322592,2.88376472561945,2.05983194687103,1.23589916812262,0.411966389374207,3.02142327812714,2.15815948437653,1.29489569062592,0.431631896875306
1.433,3.32293251095545,2.37352322211103,1.42411393326662,0.474704644422207,2.91736805938909,2.08383432813506,1.25030059688104,0.416766865627013,2.88490142399564,2.0606438742826,1.23638632456956,0.41212877485652,2.88318731257893,2.05941950898495,1.23565170539097,0.41188390179699,3.01974756781407,2.15696254843862,1.29417752906317,0.431392509687725
1.434,3.32309050153323,2.37363607252374,1.42418164351424,0.474727214504747,2.9175931048871,2.08399507491935,1.25039704495161,0.416799014983871,2.88485955966429,2.06061397118878,1.23636838271327,0.412122794237756,2.88261505283763,2.05901075202688,1.23540645121613,0.411802150405375,3.01807930558199,2.15577093255857,1.29346255953514,0.431154186511713
1.435,3.32325041084375,2.37375029345982,1.42425017607589,0.474750058691964,2.9178186589044,2.08415618493171,1.25049371095903,0.416831236986343,2.88481992958341,2.06058566398815,1.23635139839289,0.41211713279763,2.88204793562206,2.05860566830147,1.23516340098088,0.411721133660295,3.01641847585999,2.15458462561428,1.29275077536857,0.430916925122856
1.436,3.32341223487849,2.37386588205607,1.42431952923364,0.474773176411213,2.91804472037863,2.08431765741331,1.25059059444798,0.416863531482662,2.88478252908533,2.06055894934667,1.236335369608,0.412111789869333,2.8814859501888,2.05820425013486,1.23492255008092,0.411640850026972,3.01476506312055,2.15340361651468,1.29204216990881,0.430680723302936
1.437,3.32357596964014,2.37398283545724,1.42438970127435,0.474796567091449,2.91827128825038,2.08447949160742,1.25068769496445,0.416895898321483,2.88474735351541,2.06053382393958,1.23632029436375,0.412106764787915,2.88092908582433,2.05780648987452,1.23468389392471,0.411561297974904,3.01311905187937,2.15222789419955,1.29133673651973,0.430445578839909
1.438,3.32374161114248,2.37410115081605,1.42446069048963,0.474820230163211,2.9184983614632,2.08464168675943,1.25078501205566,0.416928337351886,2.88471439823191,2.06051028445136,1.23630617067082,0.412102056890273,2.8803773318449,2.05741237988921,1.23444742793353,0.411482475977843,3.01148042669519,2.15105744763942,1.29063446858365,0.430211489527884
1.439,3.32390915541034,2.3742208252931,1.42453249517586,0.47484416505862,2.91872593896354,2.08480424211682,1.25088254527009,0.416960848423364,2.88468365860602,2.06048832757573,1.23629299654544,0.412097665515146,2.87983067759649,2.05702191256892,1.23421314754135,0.411404382513785,3.00984917216972,2.14989226583552,1.28993535950131,0.429978453167103
1.44,3.32407859847966,2.3743418560569,1.42460511363414,0.474868371211381,2.91895401970083,2.08496715692916,1.2509802941575,0.416993431385833,2.88465513002181,2.06046795001558,1.23628077000935,0.412093590003115,2.87928911245465,2.05663508032475,1.23398104819485,0.411327016064951,3.00822527294742,2.14873233781959,1.28923940269175,0.429746467563918
