Wavelength_nm_,m
1500.788,-0.0747771130622989
1500.792,-0.0747771043694467
1500.796,-0.0747770952312525
1500.8,-0.0747770856479268
1500.804,-0.0747770756196933
1500.808,-0.0747770651468444
1500.812,-0.0747770542298228
1500.816,-0.07477704286918
1500.82,-0.0747770310650017
1500.824,-0.0747770188173993
1500.828,-0.074777006126774
1500.832,-0.0747769929935623
1500.836,-0.0747769794182944
1500.84,-0.0747769654014777
1500.844,-0.074776950943653
1500.848,-0.0747769360452868
1500.852,-0.0747769207069091
1500.856,-0.0747769049290815
1500.86,-0.0747768887123496
1500.864,-0.0747768720571547
1500.868,-0.074776854963969
1500.872,-0.074776837433022
1500.876,-0.0747768194648702
1500.88,-0.074776801060255
1500.884,-0.0747767822197385
1500.888,-0.0747767629438454
1500.892,-0.0747767432333447
1500.896,-0.0747767230887806
1500.9,-0.074776702510665
1500.904,-0.0747766814994512
1500.908,-0.0747766600557035
1500.912,-0.0747766381801802
1500.916,-0.0747766158732174
1500.92,-0.0747765931354442
1500.924,-0.0747765699672202
1500.928,-0.0747765463692146
1500.932,-0.07477652234187
1500.936,-0.0747764978857224
1500.94,-0.0747764730014987
1500.944,-0.0747764476896572
1500.948,-0.0747764219505152
1500.952,-0.0747763957846051
1500.956,-0.0747763691923448
1500.96,-0.0747763421742093
1500.964,-0.074776314730627
1500.968,-0.0747762868622787
1500.972,-0.074776258569443
1500.976,-0.0747762298524603
1500.98,-0.0747762007116913
1500.984,-0.0747761711474108
1500.988,-0.0747761411599431
1500.992,-0.0747761107496942
1500.996,-0.0747760800311203
1501,-0.074776049174341
1501.004,-0.0747760181791626
1501.008,-0.0747759870457193
1501.012,-0.0747759557738037
1501.016,-0.0747759243635475
1501.02,-0.0747758928150647
1501.024,-0.0747758611280219
1501.028,-0.0747758293024154
1501.032,-0.0747757973381744
1501.036,-0.0747757652353886
1501.04,-0.0747757329942501
1501.044,-0.0747757006143434
1501.048,-0.0747756680956264
1501.052,-0.0747756354381952
1501.056,-0.0747756026414624
1501.06,-0.074775569705663
1501.064,-0.0747755366305662
1501.068,-0.074775503415989
1501.072,-0.074775470061724
1501.076,-0.0747754365674554
1501.08,-0.0747754029331444
1501.084,-0.0747753691587623
1501.088,-0.074775335243998
1501.092,-0.0747753011888707
1501.096,-0.0747752669932459
1501.1,-0.074775232657107
1501.104,-0.0747751981800584
1501.108,-0.0747751635617611
1501.112,-0.0747751288019648
1501.116,-0.0747750939008097
1501.12,-0.0747750588580812
1501.124,-0.0747750236736314
1501.128,-0.0747749883471719
1501.132,-0.0747749528782045
1501.136,-0.0747749172668571
1501.14,-0.074774881512597
1501.144,-0.0747748456152925
1501.148,-0.0747748095745854
1501.152,-0.0747747733905044
1501.156,-0.0747747370626872
1501.16,-0.0747747005909994
1501.164,-0.074774663975449
1501.168,-0.0747746272157604
1501.172,-0.0747745903119229
1501.176,-0.0747745532635668
1501.18,-0.0747745160703183
1501.184,-0.0747744787320522
1501.188,-0.0747744412485287
1501.192,-0.0747744036195776
1501.196,-0.0747743658448384
1501.2,-0.0747743279242228
1501.204,-0.0747742898575072
1501.208,-0.0747742516444066
1501.212,-0.0747742132846637
1501.216,-0.0747741747780404
1501.22,-0.0747741361244808
1501.224,-0.0747740973237193
1501.228,-0.0747740583756093
1501.232,-0.0747740192799868
1501.236,-0.0747739800365152
1501.24,-0.0747739406452032
1501.244,-0.0747739011060828
1501.248,-0.0747738614186115
1501.252,-0.0747738215826776
1501.256,-0.0747737815979951
1501.26,-0.0747737414646747
1501.264,-0.0747737011825681
1501.268,-0.0747736607513771
1501.272,-0.0747736203826251
1501.276,-0.0747735800948082
1501.28,-0.0747735398878392
1501.284,-0.0747734997613626
1501.288,-0.0747734597151837
1501.292,-0.0747734197492155
1501.296,-0.0747733798632861
1501.3,-0.0747733400572238
1501.304,-0.0747733003307942
1501.308,-0.0747732606837098
1501.312,-0.0747732211160627
1501.316,-0.0747731816278802
1501.32,-0.0747731422189783
1501.324,-0.0747731028891523
1501.328,-0.0747730636381684
1501.332,-0.0747730245799975
1501.336,-0.0747729857500013
1501.34,-0.0747729471480346
1501.344,-0.0747729087738223
1501.348,-0.0747728706272557
1501.352,-0.0747728327081207
1501.356,-0.0747727950161798
1501.36,-0.074772757551422
1501.364,-0.0747727203136761
1501.368,-0.0747726833025547
1501.372,-0.0747726465180487
