Wavelength_nm_,m
1500.816,-0.0747571455019785
1500.82,-0.0747572157448508
1500.824,-0.0747572861230754
1500.828,-0.0747573566366998
1500.832,-0.0747574272855569
1500.836,-0.0747574980699085
1500.84,-0.0747575689897681
1500.844,-0.0747576400449833
1500.848,-0.0747577112355968
1500.852,-0.0747577825620781
1500.856,-0.0747578540243707
1500.86,-0.0747579256225478
1500.864,-0.0747579973568136
1500.868,-0.074758069227255
1500.872,-0.0747581412338242
1500.876,-0.0747582133762883
1500.88,-0.074758285654794
1500.884,-0.0747583580691665
1500.888,-0.0747584306191881
1500.892,-0.074758503304903
1500.896,-0.0747585761263738
1500.9,-0.0747586490835868
1500.904,-0.0747587221764244
1500.908,-0.0747587954050585
1500.912,-0.0747588687692997
1500.916,-0.0747589422690984
1500.92,-0.0747590159044765
1500.924,-0.0747590896751761
1500.928,-0.0747591635814271
1500.932,-0.0747592376231892
1500.936,-0.0747593118002188
1500.94,-0.0747593861128522
1500.944,-0.0747594605608656
1500.948,-0.0747595351441967
1500.952,-0.0747596098627464
1500.956,-0.0747596847161536
1500.96,-0.0747597597041297
1500.964,-0.0747598348263256
1500.968,-0.0747599100825059
1500.972,-0.0747599854725768
1500.976,-0.0747600609963417
1500.98,-0.074760136653642
1500.984,-0.0747602124442315
1500.988,-0.07476028836794
1500.992,-0.074760364424783
1500.996,-0.0747604406142912
1501,-0.0747605169363578
1501.004,-0.0747605933907152
1501.008,-0.0747606699769764
1501.012,-0.0747607466948413
1501.016,-0.0747608235440479
1501.02,-0.074760900524269
1501.024,-0.0747609776352114
1501.028,-0.0747610548769676
1501.032,-0.0747611322488273
1501.036,-0.0747612097506268
1501.04,-0.0747612873819731
1501.044,-0.0747613651426655
1501.048,-0.0747614430327989
1501.052,-0.0747615210516026
1501.056,-0.0747615991991617
1501.06,-0.074761677474904
1501.064,-0.0747617558787479
1501.068,-0.0747618344102556
1501.072,-0.074761913069471
1501.076,-0.0747619918560458
1501.08,-0.0747620707699353
1501.084,-0.0747621498108997
1501.088,-0.0747622289790881
1501.092,-0.0747623082743229
1501.096,-0.0747623876964876
1501.1,-0.0747624672452236
1501.104,-0.074762546920791
1501.108,-0.0747626267234715
1501.112,-0.074762706653111
1501.116,-0.074762786709301
1501.12,-0.0747628668923643
1501.124,-0.0747629472021314
1501.128,-0.0747630276386319
1501.132,-0.0747631082020721
1501.136,-0.0747631888924071
1501.14,-0.0747632697094689
1501.144,-0.0747633506535233
1501.148,-0.0747634317246265
1501.152,-0.0747635129226076
1501.156,-0.0747635942473274
1501.16,-0.0747636756989988
1501.164,-0.0747637572774624
1501.168,-0.0747638389827074
1501.172,-0.0747639208147192
1501.176,-0.0747640027733393
1501.18,-0.0747640848586284
1501.184,-0.0747641670704734
1501.188,-0.0747642494088258
1501.192,-0.0747643318739141
1501.196,-0.0747644144658167
1501.2,-0.0747644971845654
1501.204,-0.0747645800302437
1501.208,-0.0747646630026365
1501.212,-0.0747647461017988
1501.216,-0.0747648293275733
1501.22,-0.0747649126800996
1501.224,-0.0747649961591929
1501.228,-0.0747650797645817
1501.232,-0.0747651634962892
1501.236,-0.0747652473542659
1501.24,-0.0747653313383277
1501.244,-0.0747654154486628
1501.248,-0.0747654996851346
1501.252,-0.0747655840477263
1501.256,-0.07476566853611
1501.26,-0.0747657532358449
1501.264,-0.0747658381612104
1501.268,-0.074765923311995
1501.272,-0.0747660086879349
1501.276,-0.0747660942891131
1501.28,-0.0747661801152328
1501.284,-0.0747662661660148
1501.288,-0.0747663524412886
1501.292,-0.0747664389408624
1501.296,-0.0747665256644002
1501.3,-0.0747666126114952
1501.304,-0.0747666997822841
1501.308,-0.074766787176358
1501.312,-0.0747668747931726
1501.316,-0.0747669626327486
1501.32,-0.0747670506947939
1501.324,-0.0747671389790819
1501.328,-0.074767227485937
1501.332,-0.0747673162149004
1501.336,-0.0747674051653681
1501.34,-0.0747674943375371
1501.344,-0.0747675837312665
1501.348,-0.0747676733462027
1501.352,-0.0747677631822438
1501.356,-0.0747678532394379
1501.36,-0.0747679435176944
1501.364,-0.0747680340167073
1501.368,-0.0747681247361928
1501.372,-0.0747682156758217
1501.376,-0.0747683068357328
1501.38,-0.0747683982155382
1501.384,-0.0747684898154087
1501.388,-0.0747685816352943
1501.392,-0.0747686736750711
1501.396,-0.0747687659345975
1501.4,-0.0747688584140561
1501.404,-0.0747689511131842
1501.408,-0.074769044031765
1501.412,-0.0747691371697235
1501.416,-0.0747692305266677
1501.42,-0.0747693241025422
1501.424,-0.0747694178972267
1501.428,-0.0747695119108905
1501.432,-0.0747696061432286
1501.436,-0.0747697005942531
1501.44,-0.0747697952637358
1501.444,-0.0747698901516173
1501.448,-0.074769985257771
1501.452,-0.0747700805819259
1501.456,-0.074770176123794
1501.46,-0.0747702718834177
1501.464,-0.0747703678602924
1501.468,-0.0747704640540478
1501.472,-0.0747705604647284
1501.476,-0.0747706570922145
1501.48,-0.074770753936222
1501.484,-0.0747708509966209
1501.488,-0.0747709482731928
1501.492,-0.074771045765527
1501.496,-0.0747711434734264
1501.5,-0.0747712413965368
1501.504,-0.0747713395347043
1501.508,-0.0747714378874856
1501.512,-0.0747715364546579
1501.516,-0.0747716352358968
1501.52,-0.0747717342310449
1501.524,-0.0747718334393963
1501.528,-0.0747719328607658
1501.532,-0.0747720324946042
1501.536,-0.0747721323404863
1501.54,-0.0747722323979499
1501.544,-0.0747723326666056
1501.548,-0.0747724331461946
1501.552,-0.0747725338363464
1501.556,-0.0747726347362139
1501.56,-0.0747727358455564
1501.564,-0.0747728371640987
1501.568,-0.0747729386914246
1501.572,-0.0747730404270493
1501.576,-0.0747731423706495
1501.58,-0.074773244521786
1501.584,-0.0747733468802584
1501.588,-0.0747734494453678
1501.592,-0.0747735522174282
1501.596,-0.0747736551955076
1501.6,-0.0747737583796591
1501.604,-0.0747738617694222
1501.608,-0.0747739654436743
1501.612,-0.0747740694877786
1501.616,-0.0747741739968076
1501.62,-0.0747742790992185
1501.624,-0.0747743847942907
1501.628,-0.0747744910811712
1501.632,-0.0747745979591216
1501.636,-0.0747747054276738
1501.64,-0.0747748134861016
1501.644,-0.0747749221337689
1501.648,-0.0747750313699927
1501.652,-0.0747751411944011
1501.656,-0.0747752516067555
1501.66,-0.074775362606421
1501.664,-0.0747754741930121
1501.668,-0.0747755863660227
1501.672,-0.0747756991250175
1501.676,-0.0747758124693766
1501.68,-0.0747759263988146
1501.684,-0.0747760409128225
1501.688,-0.0747761560107897
1501.692,-0.0747762716921838
1501.696,-0.0747763879567643
1501.7,-0.0747765048038329
1501.704,-0.0747766222329601
1501.708,-0.0747767402436455
1501.712,-0.0747768588357858
1501.716,-0.0747769780085651
1501.72,-0.0747770977615529
1501.724,-0.0747772180945443
1501.728,-0.0747773390073109
1501.732,-0.0747774604990208
1501.736,-0.0747775825693848
1501.74,-0.074777705218034
1501.744,-0.0747778284448347
1501.748,-0.0747779522493202
1501.752,-0.0747780766309198
1501.756,-0.074778201589508
1501.76,-0.0747783271244301
1501.764,-0.0747784532353015
1501.768,-0.0747785799220667
1501.772,-0.0747787071843203
1501.776,-0.0747788350214943
1501.78,-0.0747789634334135
1501.784,-0.0747790924197687
1501.788,-0.0747792219799154
1501.792,-0.0747793521136448
1501.796,-0.0747794828200934
1501.8,-0.0747796140991818
1501.804,-0.0747797459503106
1501.808,-0.0747798783732207
1501.812,-0.0747800113675124
1501.816,-0.074780144932819
1501.82,-0.0747802790685629
1501.824,-0.0747804137743284
1501.828,-0.0747805490494751
1501.832,-0.0747806848933334
1501.836,-0.0747808213057142
1501.84,-0.0747809582860019
1501.844,-0.0747810958338627
1501.848,-0.0747812339483104
1501.852,-0.0747813726287689
1501.856,-0.0747815118748166
1501.86,-0.0747816516860034
1501.864,-0.0747817920615707
1501.868,-0.0747819330008085
1501.872,-0.0747820745032042
1501.876,-0.0747822165683389
1501.88,-0.0747823591954743
1501.884,-0.0747825023840787
1501.888,-0.0747826461334939
1501.892,-0.0747827904432641
1501.896,-0.0747829353127961
1501.9,-0.0747830807415427
1501.904,-0.0747832267289263
1501.908,-0.0747833732741741
1501.912,-0.0747835203766573
1501.916,-0.0747836680357733
1501.92,-0.074783816251079
1501.924,-0.0747839650218982
1501.928,-0.0747841143477503
1501.932,-0.0747842642280884
1501.936,-0.074784414662338
1501.94,-0.0747845656496352
1501.944,-0.0747847171894121
1501.948,-0.0747848692809873
1501.952,-0.0747850219238987
1501.956,-0.0747851751172913
1501.96,-0.0747853288604567
